"Date","圣斗士星矢（腾讯） DAU"
"2019-09-10","392,441"
"2019-09-11","504,748"
"2019-09-12","596,378"
"2019-09-13","676,346"
"2019-09-14","737,626"
"2019-09-15","760,179"
"2019-09-16","711,957"
"2019-09-17","730,057"
"2019-09-18","750,584"
"2019-09-19","792,507"
"2019-09-20","844,402"
"2019-09-21","890,442"
"2019-09-22","895,121"
"2019-09-23","846,433"
"2019-09-24","966,962"
"2019-09-25","924,437"
"2019-09-26","905,549"
"2019-09-27","906,496"
"2019-09-28","1,037,063"
"2019-09-29","976,078"
"2019-09-30","754,419"
"2019-10-01","779,841"
"2019-10-02","773,913"
"2019-10-03","819,111"
"2019-10-04","865,389"
"2019-10-05","980,005"
"2019-10-06","961,607"
"2019-10-07","761,819"
"2019-10-08","785,232"
"2019-10-09","755,134"
"2019-10-10","806,133"
"2019-10-11","875,440"
"2019-10-12","952,775"
"2019-10-13","922,923"
"2019-10-14","795,286"
"2019-10-15","795,106"
"2019-10-16","774,236"
"2019-10-17","797,080"
"2019-10-18","918,813"
"2019-10-19","1,025,498"
"2019-10-20","1,014,218"
"2019-10-21","871,566"
"2019-10-22","856,614"
"2019-10-23","844,312"
"2019-10-24","843,933"
"2019-10-25","963,788"
"2019-10-26","1,127,486"
"2019-10-27","1,100,816"
"2019-10-28","908,044"
"2019-10-29","841,337"
"2019-10-30","810,926"
"2019-10-31","799,061"
"2019-11-01","933,116"
"2019-11-02","1,130,050"
"2019-11-03","1,111,655"
"2019-11-04","869,966"
"2019-11-05","806,424"
"2019-11-06","775,224"
"2019-11-07","788,391"
"2019-11-08","923,172"
"2019-11-09","1,133,070"
"2019-11-10","1,125,217"
"2019-11-11","849,139"
"2019-11-12","743,126"
"2019-11-13","707,490"
"2019-11-14","727,905"
"2019-11-15","904,101"
"2019-11-16","1,127,090"
"2019-11-17","1,131,126"
"2019-11-18","855,538"
"2019-11-19","824,930"
"2019-11-20","814,548"
"2019-11-21","841,315"
"2019-11-22","919,977"
"2019-11-23","1,089,967"
"2019-11-24","1,066,353"
"2019-11-25","791,290"
"2019-11-26","814,978"
"2019-11-27","799,791"
"2019-11-28","783,922"
"2019-11-29","822,164"
"2019-11-30","954,182"
"2019-12-01","956,610"
"2019-12-02","736,815"
"2019-12-03","826,949"
"2019-12-04","908,746"
"2019-12-05","806,701"
"2019-12-06","795,836"
"2019-12-07","946,905"
"2019-12-08","942,926"
"2019-12-09","724,499"
"2019-12-10","713,946"
"2019-12-11","783,020"
"2019-12-12","686,969"
"2019-12-13","730,209"
"2019-12-14","910,868"
"2019-12-15","937,680"
"2019-12-16","746,711"
"2019-12-17","800,419"
"2019-12-18","836,514"
"2019-12-19","730,964"
"2019-12-20","796,945"
"2019-12-21","927,595"
"2019-12-22","964,155"
"2019-12-23","769,856"
"2019-12-24","827,045"
"2019-12-25","865,194"
"2019-12-26","766,128"
"2019-12-27","826,126"
"2019-12-28","864,646"
"2019-12-29","955,164"
"2019-12-30","787,206"
"2019-12-31","856,761"
"2020-01-01","909,986"
"2020-01-02","807,277"
"2020-01-03","838,709"
"2020-01-04","864,606"
"2020-01-05","934,286"
"2020-01-06","783,017"
"2020-01-07","815,462"
"2020-01-08","902,062"
"2020-01-09","808,742"
"2020-01-10","812,576"
"2020-01-11","874,595"
"2020-01-12","923,451"
"2020-01-13","787,950"
"2020-01-14","810,204"
"2020-01-15","859,561"
"2020-01-16","792,618"
"2020-01-17","793,780"
"2020-01-18","916,262"
"2020-01-19","888,482"
"2020-01-20","764,161"
"2020-01-21","780,431"
"2020-01-22","796,732"
"2020-01-23","768,535"
"2020-01-24","787,511"
"2020-01-25","917,032"
"2020-01-26","899,818"
"2020-01-27","796,607"
"2020-01-28","796,958"
"2020-01-29","813,248"
"2020-01-30","776,913"
"2020-01-31","803,452"
"2020-02-01","921,769"
